Names,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgR,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,Cmp%S,Cmp%M,Cmp%L,xA,A-xAG,KP,F3rdPPA,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,BlockedPass,SCA,SCA90,PassLiveSCA,PassDeadSCA,TO,ShToS,Fld,Def,GCA,GCA90,PassLive,PassDead,TOSCA,ShSCA,FldSCA,DefSCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDef,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rdT,Mid 3rdT,Att 3rdT,Att Pen,LiveT,AttTO,Succ%,Tkld,Tkld%,Carries,TotDistC,PrgDistC,PrgC,F3Carry,CPA,Mis,Dis,Rec,CrdY,CrdR,2CrdY,Fls,PKwon,PKcon,OG,Recov,ADWon,ADLost,Playstyles
Marcos Llorente,1,0.1212,0.1481,0.2694,0.1212,0,0,0.0579,0.0579,0.1226,0.1798,4.633,0.8889,0.2963,33.3,0.14,0.41,0.1266,0.07,9.4,9.4,436.3704,110.8283,89.8,83.7,67.3,0.1125,0.0256,0.9091,1.8316,0.8081,0.2155,3.0707,33.1852,2.1279,0.1751,0.0471,0.2559,1.5354,1.8855,0,0,0,0,29.0572,0.1953,1.0572,1.8855,0.0161,1.5758,0.0269,0.1279,0.0471,0.0673,0.0404,0.2694,0.0023,0.202,0,0.0404,0.0067,0.0135,0.0067,1.5354,1.4545,0.6128,0.7273,0.1953,0.6532,1.3535,48.3,0.7003,1.0034,0.1481,0.8552,1.2929,2.2424,0.9024,0,43.3266,1.3603,9.2795,20.4377,14.0471,2.0673,43.3266,1.2256,64.3,0.4175,34.1,25.6027,142.5051,69.5825,2.0539,1.2054,0.5387,1.0236,0.8687,29.1717,0.1953,0,0,1.468,0.0067,0.0269,0,4.5051,0.5522,0.8148,Box to Box Midfielder
Enzo Loiodice,1,0.0698,0.0465,0.1163,0.0698,0,0,0.0523,0.0523,0.0581,0.1105,2.4651,1.314,0.407,31,0.05,0.17,0.3,0.04,1.5,1.5,699.686,176.9884,87,87.4,70.3,0.0523,-0.0116,0.9884,4.2791,0.5698,0.0349,5.4186,51.0465,1.0349,0.5,0.1279,0.6279,0.5698,0.2326,0.1977,0.0814,0.0698,0,43.186,0.3256,1.0116,2.314,0.0269,1.8953,0.0349,0.1395,0.0581,0.1047,0.0814,0.1279,0.0015,0.1279,0,0,0,0,0,2.6163,1.5233,0.6744,1.5349,0.407,1.0814,2.1163,51.1,1.0349,0.9419,0.0814,0.8605,0.9535,3.5698,0.5,0.0116,63.7209,1.0116,9.2674,41.407,13.7674,1.1628,63.7209,2.3372,59.7,0.7791,33.3,37.5233,167.2442,81.1395,1.6628,1.5581,0.3023,1.8837,1.3837,46.4884,0.2907,0.0349,0.0349,1.8488,0,0,0,5.8721,1.0814,1.5814,Pivot
David L\xc3\xb3pez,1,0.0702,0.0401,0.1103,0.0702,0,0,0.0331,0.0331,0.0197,0.0531,0.2172,0.3509,0.2941,49.5,0.13,0.24,0.0468,0.11,1.1,1.1,486.0194,181.6945,89.4,92.1,61,0.018,0.0204,0.1872,1.8683,0.1237,0.0201,2.0254,28.9004,1.4104,1.2099,0.0201,0.2574,0.1036,0.0936,0,0,0,0,25.8456,0.0769,0.2072,0.5247,0.0034,0.4646,0.0067,0.0033,0.0267,0.01,0.0134,0.0602,0.0004,0.0468,0,0,0.0033,0.0067,0.0033,0.7888,0.752,0.4311,0.3275,0.0301,0.3376,0.7286,46.3,0.391,0.5782,0.3543,0.2239,0.9158,1.4806,1.5842,0.0368,34.9599,3.3422,15.7386,17.5067,1.9586,0.488,34.9599,0.1771,69.8,0.0501,28.3,20.2306,102.1123,58.0849,0.361,0.1939,0.0067,0.2807,0.1437,22.7273,0.2072,0.01,0.0033,1.0628,0.0033,0.0134,0.0033,3.1885,1.2166,0.9693,Disruptor
Diego L\xc3\xb3pez,1,0.2778,0.0556,0.3333,0.2778,0,0,0.2889,0.2889,0.1556,0.4444,7.4444,1.6111,0.8889,55.2,0.17,0.31,0.7611,0.18,-0.2,-0.2,289.3889,76.6111,72.6,68.3,61.4,0.1111,-0.1,1.6111,1.3889,1.1111,0.4444,2.8333,27.5,1.2222,0.1667,0.2778,0.2222,1.9444,0.7778,0,0,0,0,18.6667,0.0556,1.4444,3.1111,0.1728,2.4444,0,0.1667,0.2222,0.1667,0.1111,0.2222,0.0122,0.2222,0,0,0,0,0,1.2222,0.8333,0.3333,0.5556,0.3333,0.4444,2.0556,21.6,1.6111,1,0,1,0.6667,1.8889,0.2778,0,39.8333,0.3333,4.6667,17.2222,18.3889,3.7778,39.8333,2.8333,39.2,1.4444,51,23.5556,158.8889,87.1667,3.5,2,0.8889,2.1667,1,26.8889,0.0556,0,0,0.8333,0,0,0,4.2222,1.6111,1.9444,Complete Forward
Javi L\xc3\xb3pez,1,0,0.0949,0.0949,0,0,0,0.0253,0.0253,0.0918,0.1139,4.5886,0.4114,0.0633,15.4,0,0,0.5886,0.06,-0.8,-0.8,585.6646,235.443,88.1,70.5,44.2,0.0918,0.0032,0.6962,2.7848,1.2025,0.6013,3.5127,36.7089,11.6139,0.9494,0.0316,0.3797,4.6519,10.6646,0,0,0,0,33.9557,0.2532,1.8354,1.7405,0.0551,1.2342,0.1266,0.2532,0.0316,0.0949,0,0.2848,0.0089,0.1582,0.0316,0.0949,0,0,0,1.2342,0.7595,0.538,0.6013,0.0949,0.7278,1.2975,56.1,0.5696,0.7595,0.1582,0.6013,0.7278,1.962,2.5,0.0316,60.1582,3.1329,17.2468,25.7595,17.6899,0.8861,60.1582,3.038,51,1.3291,43.8,28.2911,181.8671,88.481,2.3734,2.0253,0.3165,1.5823,1.2025,31.2658,0.1899,0.0316,0,1.1709,0,0.0633,0,4.8418,0.9494,0.8228,Offensive Wing Back
Unai L\xc3\xb3pez,1,0.0761,0.0936,0.1697,0.0761,0,0,0.0527,0.0527,0.0778,0.1305,1.6325,1.1644,0.5793,35.7,0.06,0.13,0.1504,0.05,0,0,643.8034,167.1562,91.7,87.2,64.8,0.0802,0.0158,0.9245,3.6688,0.6905,0.1814,4.2774,38.151,3.2475,1.5623,0.041,0.8133,2.3874,0.3394,1.0415,0.4096,0.316,0.0644,34.3125,0.2516,0.6437,2.1709,0.0195,1.457,0.3803,0.1112,0.1112,0.0585,0.0527,0.1287,0.0012,0.0644,0.0234,0,0.0234,0.0117,0.0059,1.1761,0.866,0.4213,0.5968,0.158,0.474,1.457,32.5,0.983,0.6963,0.0936,0.6027,0.6027,1.732,0.4154,0.0351,47.8057,0.6319,7.4605,29.1808,11.7437,0.7197,47.8057,1.3809,60.2,0.5442,39.4,28.7478,144.5407,63.6571,1.2112,1.1469,0.1814,0.7431,0.7782,33.8678,0.2926,0,0,1.5214,0.0059,0,0.0059,4.6284,0.3745,0.6905,Pivot
Dion Lopy,1,0,0.0212,0.0212,0,0,0,0.0552,0.0552,0.051,0.1083,1.6985,0.913,0.1699,18.6,0,0,0.4926,0.06,-2.6,-2.6,661.6773,152.3355,87,89.7,80.4,0.0276,-0.0297,0.6369,3.6306,0.1699,0.0212,4.3737,40.1274,0.8068,0.7219,0,0.828,0.2548,0.0637,0.0212,0,0,0,35.0743,0.0637,0.5732,1.741,0.0369,1.3163,0.0637,0.1274,0.0849,0.1274,0.0212,0.1911,0.004,0.1486,0,0,0,0.0425,0,2.8025,1.6136,1.38,1.104,0.3185,1.104,2.9087,38,1.8047,1.2314,0.1911,1.0403,1.104,3.9066,0.9766,0,51.7834,2.4204,13.0998,30.2335,9.4692,0.7006,51.7834,1.8259,57,0.6794,37.2,35.2654,214.4586,88.0467,0.9766,1.0616,0.0637,1.741,1.0828,33.6518,0.2335,0.0425,0.0212,1.6985,0.0212,0.0212,0,7.3036,1.0191,0.7006,Creator
Anthony Lozano,1,0.2857,0.079,0.3647,0.2857,0,0,0.1878,0.1872,0.0468,0.2347,2.6383,1.465,0.9787,52.7,0.15,0.29,0.0881,0.13,-4.9,-4.8,89.8419,20.6444,74.7,60.3,38.9,0.0383,0.0322,0.3587,0.5532,0.2006,0.0486,0.9422,10.4863,0.5653,0.0061,0.0486,0.0547,0.535,0.0304,0,0,0,0,7.0517,0.0486,0.4316,1.1611,0.0112,0.6505,0,0.1824,0.1641,0.1459,0.0182,0.1763,0.0017,0.079,0,0.0182,0.0486,0.0304,0,0.4195,0.2796,0.1033,0.231,0.0851,0.0851,0.4559,18.7,0.3708,0.304,0.0426,0.2614,0.1459,0.5653,0.3587,0.0061,18.5228,0.4438,1.5562,8.8571,8.4559,2.2918,18.5228,1.5198,51.2,0.7112,46.8,11.0517,64.9848,29.5988,1.0942,0.8267,0.3343,2.0304,1.2827,14.2128,0.3222,0.0122,0.0061,2.7599,0.0365,0.0061,0,1.7082,2.2979,2.9666,Complete Forward
Jos\xc3\xa9 Luis Gay\xc3\xa0,1,0.0314,0.1059,0.1373,0.0314,0,0.0039,0.031,0.0279,0.084,0.1118,3.8133,0.4943,0.1765,31.7,0.06,0.18,0.082,0.06,-1.9,-1.1,466.8851,158.9918,89.6,79.7,46.7,0.0836,0.022,0.8082,1.9694,0.8827,0.4433,2.7933,29.337,6.736,0.9729,0.0314,0.2982,3.5779,5.5865,0.1765,0.0392,0.0981,0.0039,27.7246,0.1452,0.8121,1.5222,0.0084,1.2711,0.102,0.0628,0.0314,0.0471,0.0078,0.1726,0.0009,0.1334,0.0078,0.0039,0.0078,0.0196,0,1.6516,1.4555,1.1338,0.4158,0.102,0.918,1.581,58.1,0.663,0.7297,0.1687,0.561,1.0396,2.4402,1.6124,0.0157,43.06,2.2322,13.4484,17.9482,12.1538,1.1769,43.0561,1.2162,60.3,0.4786,39.4,22.5775,127.0027,71.0867,1.6752,1.2201,0.2393,0.5885,0.357,24.543,0.2589,0.0118,0.0078,1.0279,0.0275,0.0157,0,3.927,0.561,0.6905,Offensive Wing Back
Jos\xc3\xa9 Luis Morales,1,0.2646,0.1373,0.4019,0.2344,0.0301,0.0469,0.1999,0.1631,0.0991,0.2622,4.3168,1.3999,0.7301,46.2,0.16,0.32,0.0566,0.14,3.3,5.3,149.213,43.4025,80.9,67.7,48.3,0.0697,0.0382,0.6899,0.6966,0.6999,0.1708,1.5673,13.4427,0.931,0.1608,0.1005,0.144,2.1969,0.3483,0.278,0.077,0.1239,0.0067,9.4608,0.1105,0.8841,1.7314,0.0099,1.0616,0.0938,0.2981,0.1306,0.1239,0.0234,0.2277,0.0013,0.1105,0.0067,0.0569,0.0201,0.0335,0,0.4387,0.4019,0.1373,0.1909,0.1105,0.1808,0.8339,21.7,0.653,0.422,0.01,0.4119,0.2981,0.6497,0.2143,0.0033,20.854,0.3014,2.5352,7.3443,11.42,2.7093,20.8071,2.4146,44.1,1.3262,54.9,13.4461,102.3677,50.9678,1.9859,1.2157,1.0851,1.3396,1.0516,15.0234,0.1407,0.0033,0.0033,0.643,0.0234,0,0,2.3041,0.2512,0.5693,Complete Forward
