Names,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgR,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,Cmp%S,Cmp%M,Cmp%L,xA,A-xAG,KP,F3rdPPA,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,BlockedPass,SCA,SCA90,PassLiveSCA,PassDeadSCA,TO,ShToS,Fld,Def,GCA,GCA90,PassLive,PassDead,TOSCA,ShSCA,FldSCA,DefSCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDef,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rdT,Mid 3rdT,Att 3rdT,Att Pen,LiveT,AttTO,Succ%,Tkld,Tkld%,Carries,TotDistC,PrgDistC,PrgC,F3Carry,CPA,Mis,Dis,Rec,CrdY,CrdR,2CrdY,Fls,PKwon,PKcon,OG,Recov,ADWon,ADLost,Playstyles
Max Aarons,1,0.0242,0.0725,0.0966,0.0242,0,0,0.0362,0.0362,0.0903,0.1266,4.7585,0.4831,0.1304,27,0.05,0.19,0.0874,0.08,-2.5,-2.5,635.0242,209.6377,90.8,79.7,43.9,0.0918,-0.0179,0.8744,2.1884,1.1353,0.3961,3.5411,43.4928,9.971,0.7391,0.0531,0.2754,2.1498,9.2271,0.0048,0,0,0,42.2754,0.0821,1.5894,2.0435,0.0099,1.6329,0.058,0.1449,0.0628,0.1304,0.0145,0.1739,0.0008,0.1546,0.0048,0,0,0.0145,0,1.5217,0.8986,1.0386,0.3913,0.0918,0.8309,1.3092,63.5,0.4783,0.9082,0.4396,0.4686,0.9807,2.5024,2.2947,0.029,64.1498,3.2947,21.2657,26.058,17.5507,1.6039,64.1498,2.6087,48.5,1.1401,43.7,36,236.6135,119.7488,2.8261,1.7778,0.657,1.3575,0.7246,38.8937,0.1884,0,0,0.6763,0.0193,0.0145,0.0048,5.2705,0.5797,1.1836,Offensive Wing Back
Benie Adama Traore,1,0.4587,0.1529,0.6116,0.3364,0.1223,0.1223,0.0092,0.0092,0.0153,0.0245,0.4281,2.4159,1.1009,45.6,0.14,0.31,0.4679,0.27,-0.3,-0.3,23.7003,5.6575,89.5,82.6,100,0.0153,0.1376,0.1223,0.0612,0.2141,0.0306,0.2752,1.9878,0.1529,0,0.0612,0,1.0398,0,0,0,0,0,1.682,0.0306,0.1223,0.1835,0.0428,0.1835,0,0,0,0,0,0.0306,0.007,0.0306,0,0,0,0,0,0.1223,0.7034,0.0306,0.0612,0.0306,0,0.1223,0,0.1223,0.1223,0.0306,0.0917,0.5505,0.1529,0.0306,0,3.4251,0.0612,0.581,1.4985,1.4679,0.2752,3.4251,0.6728,22.7,0.4587,68.2,2.2018,14.1284,5.3211,0.2141,0.1529,0.0917,0.3058,0.2141,2.1101,0.0306,0,0,1.6514,0,0,0,0.6728,0.0612,0.5505,Wide Winger
Tosin Adarabioyo,1,0.0453,0.0324,0.0777,0.0453,0,0,0.0466,0.0466,0.0175,0.0634,0.2654,0.5825,0.1877,32.2,0.08,0.24,0.0964,0.08,-0.2,-0.2,1060.8673,409.178,86.2,90,63.9,0.0188,0.0149,0.233,2.8997,0.1942,0.0194,3.0421,57.8964,2.9061,1.534,0.0324,0.4984,0.1165,1.3204,0.0065,0,0,0,50.6149,0.1942,0.4207,0.8155,0.0053,0.6926,0.0324,0.0065,0.0712,0.0065,0.0065,0.0777,0.0005,0.0453,0,0.0065,0.0129,0.0065,0.0065,1.178,0.7184,0.8285,0.2848,0.0647,0.5631,0.9579,58.8,0.3948,0.945,0.6667,0.2783,1.4304,2.6084,4.9579,0.0518,71.0162,9.1197,36.5049,32.2006,2.6408,0.8673,71.0162,0.4854,74.7,0.1165,24,39.178,177.9223,104.5372,0.5113,0.3107,0.0194,0.4337,0.233,45.5858,0.0712,0.0065,0,0.5243,0,0.0324,0.0129,5.055,3.0291,1.2427,Sweeper
Elijah Adebayo,1,0.3642,0.0703,0.4345,0.3387,0.0256,0.0511,0.2351,0.2032,0.0671,0.2696,4.2748,1.9169,0.7604,39.7,0.16,0.4,0.0805,0.16,-4.8,-3.8,76.1981,18,67,55.7,36.7,0.0588,0.0032,0.4665,0.4792,0.262,0.0383,0.9137,10.5623,0.0703,0,0.0192,0.0064,0.6901,0.0511,0,0,0,0,6.1789,0.0958,0.4345,1.1629,0.0124,0.754,0.0064,0.1278,0.115,0.147,0.0128,0.1661,0.0018,0.0767,0,0.0319,0.0256,0.0192,0.0128,0.4473,0.377,0.1086,0.1789,0.1597,0.1214,0.492,24.7,0.3706,0.5879,0.0447,0.5431,0.3003,0.6645,0.8626,0,20.7732,0.9393,1.8211,7.1949,11.9425,3.2971,20.7284,2.2236,30.5,1.4441,64.9,11.6038,65.853,20.6645,1.0224,0.5751,0.6837,2.7604,1.1821,14.9776,0.1534,0.0064,0,1.8658,0.0128,0,0,1.6805,2.5815,3.4185,Complete Forward
Simon Adingra,1,0.4587,0.2202,0.6789,0.4587,0,0,0.1413,0.1413,0.1303,0.2716,6.0734,2.5138,1.1743,46.7,0.18,0.39,0.2881,0.13,6.3,6.3,231.8716,59.633,81.6,75.9,51.3,0.1284,0.0899,1.0092,0.6789,0.8624,0.2202,1.4128,19.0275,1.3761,0.0917,0.1284,0.0734,3.4128,0.5138,0.7706,0.4771,0.1284,0,15.0826,0.0734,0.7339,1.945,0.0598,1.3028,0.1468,0.2202,0.1101,0.1101,0.055,0.3303,0.0101,0.2018,0,0.0734,0.0183,0.0183,0.0183,0.6972,0.9908,0.2936,0.2202,0.1835,0.3303,0.789,41.9,0.4587,0.5505,0,0.5505,0.6239,1.1376,0.3486,0,27.6514,0.5505,4.055,9.7798,14.4404,3.0092,27.6514,3.2661,39.9,1.6514,50.6,20.2936,155.2844,78.6972,2.6789,1.5046,1.211,1.156,0.9725,19.3211,0.1651,0.0183,0,1.2294,0.0183,0.0183,0,3.1009,0.1835,0.1651,Wide Winger
Nayef Aguerd,1,0.0999,0.025,0.1249,0.0999,0,0,0.0891,0.0891,0.0158,0.1041,0.0833,0.7494,0.1832,24.4,0.13,0.55,0.0908,0.12,1.3,1.3,1102.423,453.7219,93.9,92,61.7,0.0142,0.0092,0.1665,3.189,0.0916,0.0167,2.9975,61.4321,2.4646,2.0316,0.025,1.174,0.0583,0.2914,0,0,0,0,55.0458,0.1249,0.3081,0.5912,0.0049,0.458,0.0333,0.0083,0.0749,0.0167,0,0.05,0.0004,0.0416,0,0,0,0.0083,0,1.1574,0.791,0.741,0.3997,0.0167,0.6162,0.9992,61.7,0.383,1.1407,0.816,0.3247,1.1407,2.2981,4.0466,0.05,73.7052,7.5687,35.5537,36.4946,2.0483,1.0491,73.7052,0.3164,76.3,0.0583,18.4,44.438,199.7585,112.9226,0.3747,0.2831,0.0083,0.383,0.2498,51.8068,0.1832,0.025,0.0083,0.7494,0.0083,0.05,0,5.3372,3.0475,1.7652,Sweeper
Naouirou Ahamada,1,0.0935,0.0935,0.1869,0.0935,0,0,0.0654,0.0654,0.0654,0.1262,3.9252,1.215,0.2804,23.1,0.08,0.33,1.0093,0.05,0.6,0.6,484.1121,115.9813,90.3,91.8,54.2,0.0514,0.028,0.8411,2.6168,0.3271,0.0935,3.785,36.4019,0.8879,0.3271,0.0935,0.0467,0.6075,0.2804,0,0,0,0,31.5888,0.0935,1.0748,2.1963,0.1028,1.7757,0,0.1869,0.1402,0.0467,0.0467,0.3738,0.0173,0.3738,0,0,0,0,0,1.2617,0.7477,0.7009,0.4206,0.1402,0.6075,1.5421,39.4,0.9346,0.9346,0.2336,0.7009,0.4673,1.729,0.3738,0,47.1963,1.028,9.3925,27.1028,11.4953,1.3551,47.1963,2.9439,55.6,1.0748,36.5,29.8598,208.2243,100.7477,2.8505,1.6355,0.4206,2.4299,0.9813,32.7103,0.3738,0.0935,0.0467,1.4019,0,0.0935,0,6.028,0.4206,0.9813,Disruptor
Anel Ahmedhod\xc5\xbei\xc4\x87,1,0.0765,0.0459,0.1223,0.0765,0,0,0.0436,0.0436,0.0268,0.0703,0.6193,0.7569,0.2523,33.3,0.1,0.3,0.1078,0.1,0.3,0.3,270.2829,90.3211,88,82.9,55.6,0.0222,0.0191,0.237,1.0245,0.1529,0.0382,1.3532,18.8761,0.9939,0.2599,0,0.1376,0.3364,0.7339,0,0,0,0,15.7263,0.0459,0.3211,0.5657,0.0097,0.4434,0.0076,0,0.0688,0.0153,0.0306,0.0382,0.0007,0.0229,0,0,0.0153,0,0,1.0245,0.9709,0.6957,0.2523,0.0765,0.5199,0.841,61.8,0.3211,0.5122,0.2446,0.2676,1.7661,1.7661,1.4908,0,25.0612,2.3624,10.6346,11.2156,3.3869,0.6651,25.0612,0.3287,37.2,0.1758,53.5,13.1728,79.9541,46.4985,0.6957,0.6116,0.0459,0.3211,0.2141,14.3884,0.2752,0,0,1.055,0.0076,0.0076,0,2.4694,0.818,0.6498,Aggressor
Ola Aina,1,0.0324,0.0714,0.1038,0.0324,0,0,0.0273,0.0273,0.0707,0.098,2.3686,0.6944,0.1752,25.2,0.05,0.19,0.1408,0.06,0.8,0.8,451.7781,182.0896,88.2,75.2,46.7,0.0578,0.0006,0.61,1.9403,0.6424,0.305,2.7125,30.1493,7.1058,0.5321,0.0324,0.1817,2.2972,6.5217,0.0519,0,0,0,27.599,0.1168,1.0253,1.4082,0.0127,0.9799,0.1687,0.1168,0.013,0.1103,0.0195,0.1298,0.0012,0.0909,0.013,0.0065,0,0.0195,0,1.2914,1.22,0.7008,0.4283,0.1622,0.636,1.194,53.3,0.5581,0.7333,0.1493,0.584,1.6742,2.3945,1.9533,0.0324,45.9637,2.2064,13.7962,21.1097,11.6483,0.7982,45.9637,1.7975,52.3,0.7917,44,22.719,138.3712,75.3602,2.0117,1.4147,0.2206,0.9669,0.4997,25.8209,0.2012,0.0065,0,1.1421,0.0065,0.0065,0,4.2375,0.902,0.8631,Offensive Wing Back
Rayan A\xc3\xaft Nouri,1,0.0402,0.0803,0.1205,0.0402,0,0,0.0442,0.0442,0.0669,0.1111,5.5556,0.6827,0.2008,29.4,0.06,0.2,0.2303,0.07,-0.3,-0.3,609.8795,210.9639,90.5,79.9,44.2,0.0629,0.0134,0.83,2.1017,0.9505,0.4819,3.494,42.2892,8.996,0.4953,0.0268,0.2142,3.2262,7.8983,0.6024,0.2276,0.3481,0,40.6827,0.1205,1.1914,2.1821,0.0292,1.4592,0.2811,0.241,0.0535,0.1071,0.0402,0.1606,0.0021,0.1071,0.0134,0.0134,0,0.0268,0,2.5435,1.5663,1.66,0.6961,0.1874,0.8969,1.7135,52.3,0.8166,0.9371,0.1339,0.8032,1.0576,3.6011,1.9679,0.0134,64.0295,2.6238,19.7456,26.5194,18.5542,1.7001,64.0295,3.6011,53.2,1.5663,43.5,33.6412,186.1714,102.6506,2.8246,1.9009,0.7095,2.0348,1.419,38.4739,0.2276,0,0,0.9371,0.0134,0.0402,0.0134,5.8501,0.8568,0.9639,Offensive Wing Back
Kristoffer Ajer,1,0.0719,0.0719,0.1437,0.0671,0.0048,0.0048,0.0072,0.0072,0.0158,0.023,0.3115,0.1725,0.1677,33.3,0.17,0.4,0.0417,0.11,-0.5,-0.5,92.6689,39.9042,82.7,76.5,47.2,0.0182,0.0561,0.0767,0.4264,0.0815,0.0192,0.6804,6.5165,1.1979,0.0862,0.0144,0.0623,0.2444,1.1116,0,0,0,0,5.6061,0.024,0.206,0.2587,0.0067,0.1917,0.0287,0.0144,0.0144,0.0048,0.0048,0.0431,0.0011,0.024,0.0048,0.0096,0,0.0048,0,0.2731,0.2971,0.1821,0.0671,0.024,0.1677,0.2683,62.5,0.1006,0.1437,0.0815,0.0623,0.4312,0.4552,0.5798,0,9.4298,0.8625,3.7853,4.1399,1.5573,0.3258,9.4298,0.1485,64.5,0.0431,29,4.437,25.1701,14.7484,0.2587,0.1725,0.0192,0.1821,0.0958,4.9736,0.1485,0.0048,0,0.6996,0,0.0048,0.0048,0.781,0.4217,0.2348,Sweeper
Manuel Akanji,1,0.0586,0.016,0.0746,0.0586,0,0,0.0352,0.0352,0.0117,0.0469,0.3731,0.3945,0.1439,35.1,0.15,0.41,0.0821,0.09,-0.6,-0.6,1062.564,360.5277,94.1,95.4,74.6,0.0272,0.0043,0.1439,3.8966,0.1119,0.0213,3.806,59.8081,1.9243,1.2687,0.0373,0.629,0.1013,0.6397,0,0,0,0,56.5139,0.0906,0.2772,0.6237,0.0042,0.5171,0.0213,0.016,0.0267,0.0213,0.0213,0.08,0.0005,0.0693,0,0,0,0.0053,0.0053,1.162,0.7196,0.6237,0.4478,0.0906,0.6077,0.9542,63.7,0.3465,0.7569,0.3625,0.3945,0.9222,2.0842,2.0682,0.0426,68.129,5.0267,27.3881,37.5053,3.5181,0.6983,68.129,0.2932,76.4,0.0533,18.2,45.8156,249.9467,143.6674,0.7516,0.6343,0.032,0.3358,0.1706,51.8817,0.1173,0.0053,0.0053,0.5704,0.0053,0.0053,0.0107,4.2004,1.178,1.0181,Sweeper
Nathan Ak\xc3\xa9,1,0.096,0.032,0.128,0.096,0,0,0.0603,0.0603,0.0395,0.1003,0.5013,0.5333,0.2133,35,0.17,0.45,0.0533,0.12,2.7,2.7,698.864,254.88,92.3,91.2,63.7,0.0288,-0.0075,0.2133,2.9013,0.1653,0.0213,3.024,43.632,2.288,1.0613,0.0267,0.1067,0.2027,1.216,0,0,0,0,40.4853,0.0533,0.3893,0.5547,0.0037,0.4373,0.0053,0.0267,0.064,0.016,0.0053,0.0747,0.0005,0.0533,0,0.0053,0.0107,0.0053,0,1.152,0.7413,0.72,0.3787,0.0533,0.4587,0.7253,63.2,0.2667,0.928,0.5547,0.3733,0.9067,2,4.0213,0.0107,54.368,5.5413,25.44,24.848,4.3733,1.0507,54.368,0.1547,72.4,0.0373,24.1,32.5173,162.5333,97.76,0.5813,0.512,0.0373,0.336,0.1173,35.6747,0.112,0.0053,0,0.7467,0.0053,0.0107,0,3.808,1.9573,1.4613,Sweeper
Trent Alexander-Arnold,1,0.0727,0.2909,0.3636,0.0727,0,0,0.0696,0.0696,0.2914,0.361,6.026,1.3195,0.3532,26.8,0.06,0.21,0.1252,0.05,0.6,0.6,1190.5195,450.161,89.2,77.2,49.3,0.2623,-0.0005,2.2442,6.0416,2.3896,0.774,7.0338,69.5688,15.8286,2.1662,0.3948,1.8442,8.2338,10.4519,3.2104,0.7481,1.8857,0.0468,63.1325,0.3065,1.4961,4.0156,0.0211,2.5351,1.1377,0.1299,0.1714,0.0208,0.0208,0.5091,0.0026,0.3532,0.1143,0.0156,0.026,0,0,1.6779,1.0805,0.9455,0.5195,0.213,1.0961,2.1766,50.4,1.0805,0.7532,0.1662,0.587,1.3506,3.0182,1.8597,0.0623,94.9558,2.5091,20.961,44.9714,29.7974,1.787,94.9558,1.5013,52.6,0.6857,45.7,52.8831,223.4494,122.1091,2.2286,2.2442,0.426,1.1896,0.5506,60.3844,0.1195,0,0,0.561,0,0.0052,0,7.0234,0.3948,0.639,Offensive Wing Back
Miguel Almir\xc3\xb3n,1,0.2149,0.1385,0.3534,0.191,0.0239,0.0287,0.1987,0.18,0.1074,0.2875,5.2053,2.2923,0.8023,35,0.08,0.24,0.0893,0.1,-7.6,-7.7,353.1805,84.2359,87.1,81,63.3,0.0917,0.031,1.0029,1.9532,0.8691,0.1815,3.4193,28.7058,1.084,0.2674,0.1433,0.1624,1.829,0.234,0.4871,0.1098,0.0334,0.0143,23.7297,0.1862,0.9503,2.8271,0.0168,1.8768,0.148,0.3009,0.2436,0.2006,0.0573,0.3009,0.0018,0.1671,0.0096,0.043,0.0382,0.0334,0.0096,1.5091,1.3467,0.6256,0.6543,0.2292,0.4107,1.2321,33.3,0.8214,0.702,0.0573,0.6447,0.7784,2.1538,0.4632,0.0048,39.4556,0.6925,5.2627,16.7049,18.4479,2.6074,39.4317,2.2684,50.9,1.0411,45.9,26.5759,192.0439,96.7001,3.1375,2.063,0.7641,1.6571,0.9742,28.5626,0.1003,0,0,0.8691,0.0143,0,0,4.4938,0.1862,0.4728,Wide Winger
Edson \xc3\x81lvarez,1,0.0809,0.0472,0.1281,0.0809,0,0,0.0998,0.0998,0.0472,0.147,0.8092,1.0924,0.3304,30.2,0.07,0.24,0.1079,0.09,-3.8,-3.8,747.2421,229.764,90.4,90.8,70.4,0.0573,0,0.4248,4.1268,0.4046,0.0135,4.5381,48.5974,0.7822,0.6001,0.0539,0.3911,0.1214,0.1753,0,0,0,0,42.8726,0.1011,0.4585,1.2205,0.0106,0.971,0,0.027,0.1686,0.0337,0.0202,0.1551,0.0013,0.1146,0,0.0067,0.0337,0,0,1.915,1.1396,1.0047,0.7485,0.1618,0.9103,1.679,54.2,0.7687,1.0924,0.3844,0.708,1.234,3.149,1.8948,0.027,59.2178,3.2839,17.5388,33.938,8.2535,1.4295,59.2178,0.9036,70.1,0.2428,26.9,33.884,200.6473,106.7094,1.1666,0.9373,0.0202,0.7755,0.5934,38.9953,0.2495,0.027,0.0067,1.3756,0,0.0135,0.0067,5.644,2.2589,1.5442,Disruptor
Juli\xc3\xa1n \xc3\x81lvarez,1,0.5766,0.2306,0.8072,0.5601,0.0165,0.0329,0.425,0.3987,0.2619,0.6606,8.1054,3.0478,1.3015,42.7,0.18,0.43,0.2982,0.13,9.2,9.8,434.1516,97.2323,83.5,73.5,48.7,0.2438,-0.0313,2.1911,1.6969,1.318,0.1977,3.3443,34.168,5.0577,0.6425,0.4613,0.346,5.1071,0.4942,3.2455,1.1203,1.3509,0.0494,28.1549,0.2142,1.4827,4.6787,0.0771,3.1466,0.7414,0.4448,0.2471,0.0824,0.0165,0.626,0.0104,0.3954,0.0165,0.0988,0.0659,0.0329,0.0165,1.1697,0.5437,0.1318,0.5107,0.5272,0.4613,1.4498,31.8,0.9885,1.2521,0.0494,1.2026,0.1647,1.3344,0.3624,0,51.318,0.5601,2.7677,17.7759,31.4498,4.9588,51.285,2.9489,58.1,1.1862,40.2,30.626,171.8946,73.7068,2.8171,1.8946,1.2521,2.6524,1.4498,36.0461,0.0494,0,0,1.1532,0.0329,0,0,3.4761,0.5766,1.4168,Complete Forward
Zeki Amdouni,1,0.4025,0.0774,0.4799,0.356,0.0464,0.0464,0.0372,0.0372,0.0108,0.048,0.7585,2.7245,1.2229,44.9,0.13,0.29,0.2709,0.09,-0.4,-0.4,55.7895,9.8142,80.8,88.9,80,0.0108,0.0666,0.1393,0.2477,0.0464,0,0.4025,3.9783,0.3251,0.031,0.0464,0.0155,0.5573,0,0,0,0,0,3.4985,0.031,0.1393,0.4334,0.0368,0.2012,0,0.0619,0.0929,0.0464,0.031,0.0464,0.004,0.0155,0,0.031,0,0,0,0.2632,0.7276,0.0155,0.1084,0.1393,0.0929,0.2322,40,0.1393,0.2012,0.0774,0.1238,0.2167,0.3096,0.0929,0,6.8731,0.2477,0.8514,3.2508,2.9412,0.5882,6.8731,0.9133,32.2,0.4334,47.5,4.2415,28.1115,13.7461,0.5418,0.2322,0.1703,0.5418,0.2941,4.613,0.1084,0,0,0.8204,0,0,0,0.7121,0.1393,0.4025,Poacher
Sofyan Amrabat,1,0.0252,0.0629,0.0881,0.0189,0.0063,0.0063,0.0258,0.0208,0.0302,0.0503,0.9308,0.4025,0.2956,70.3,0.05,0.06,0.1465,0.05,-1.1,-1.3,708.2956,183.7673,89.1,92.4,81.2,0.0403,0.0327,0.4591,4.1195,0.5597,0.1572,4.7925,39.434,2.1384,1.673,0.0503,0.6855,0.5409,0.3333,0.0126,0.0063,0,0,36.5535,0.1132,0.5157,1.4151,0.0126,1.2704,0.0126,0.0566,0.0063,0.0377,0.0314,0.0881,0.0008,0.0755,0,0,0,0.0063,0.0063,1.3648,0.8239,0.5849,0.5912,0.1887,0.6101,1.239,49.2,0.6289,0.8176,0.2201,0.5975,0.6164,1.9811,0.478,0.044,47.8176,1.3836,9.1132,31.2767,8.2013,0.3019,47.8113,1.434,73.2,0.3711,25.9,31.1698,193.327,90.8742,1.4277,1.0629,0.0881,0.8994,0.9182,33.7862,0.3145,0.0126,0,2.2013,0.0063,0.0126,0.0063,4.8553,0.4906,0.673,Disruptor
Joachim Andersen,1,0.0363,0.0283,0.0646,0.0363,0,0,0.0291,0.0291,0.023,0.0521,0.113,0.3512,0.1494,35.6,0.08,0.24,0.0618,0.08,-2.2,-2.2,822.3496,292.5878,89.1,92.9,59.6,0.0222,0.0052,0.2543,3.044,0.1776,0.0404,2.6363,43.1328,2.0105,1.7885,0.0484,0.7792,0.1857,0.1938,0.004,0,0,0,37.7392,0.1252,0.2866,0.6459,0.0039,0.5733,0.0242,0,0.0283,0.0081,0.0121,0.0525,0.0003,0.0444,0.004,0,0.004,0,0,0.7953,0.4845,0.5733,0.1978,0.0242,0.3755,0.6581,57.1,0.2826,0.6177,0.3593,0.2584,0.7105,1.5059,3.2983,0.0363,51.6391,7.0973,26.9802,23.1772,1.7602,0.6298,51.6391,0.2584,76.6,0.0525,20.3,30.2342,165.4744,96.7824,0.4279,0.2261,0.0242,0.1817,0.113,35.0706,0.1897,0.0202,0.004,0.8518,0,0.0202,0.0121,3.4841,1.7158,0.9285,Sweeper
Elliot Anderson,1,0.2439,0.2787,0.5226,0.2439,0,0,0.0627,0.0627,0.0767,0.1359,2.4042,3.2056,0.9408,29.3,0.08,0.26,0.5296,0.1,-1.8,-1.8,143.4146,35.784,86.7,85.7,47.6,0.0627,0.2021,0.5226,0.9408,0.4181,0,1.7422,12.8571,0.2091,0.0348,0.0348,0.0348,1.5331,0.1394,0.0348,0,0,0,10.4181,0.0697,0.453,1.2544,0.1369,1.0105,0,0.1045,0,0.1394,0,0.0697,0.0077,0.0697,0,0,0,0,0,0.662,1.1847,0.2787,0.2439,0.1394,0.3136,0.7317,42.9,0.4181,0.5923,0.1742,0.4181,0.5226,0.9408,0.2787,0,18.5366,0.4878,2.7178,7.561,8.7805,1.9861,18.5366,1.6028,39.1,0.6969,43.5,10.8362,66.0627,33.3798,1.2892,0.9059,0.4878,0.8362,0.6969,12.5087,0.1045,0,0,1.1847,0,0,0,1.6376,0.5923,0.3136,Box to Box
Jaidon Anthony,1,0.2147,0.1431,0.3578,0.2147,0,0,0.2057,0.2057,0.1914,0.3971,8.2111,1.7889,0.7156,40,0.12,0.3,0.3166,0.12,0.5,0.5,533.9177,151.1628,85,77.9,52.9,0.1878,-0.0483,1.5742,2.0572,2.0572,0.5009,4.8837,39.4275,3.9535,0.7156,0.0537,0.644,4.025,1.0197,2.1288,0.8945,0.3041,0.1252,32.7191,0.1789,1.0197,3.9356,0.0703,2.6476,0.6082,0.3399,0.161,0.1073,0.0716,0.5367,0.0097,0.3578,0.0537,0.0537,0.0358,0.0179,0.0179,1.8605,0.9481,0.6977,0.7335,0.4293,0.7871,2.1825,36.1,1.3953,1.7352,0.1252,1.61,0.6082,2.4687,0.9302,0,55.7424,0.9839,8.3363,21.6637,26.3685,3.1843,55.7424,2.8444,45.9,1.4848,52.2,35.2773,197.0125,86.619,2.7907,1.61,1.3238,2.3256,1.4669,38.5152,0.1073,0,0,1.1628,0.0179,0.0179,0,5.2773,0.644,1.2343,Wide Winger
Michail Antonio,1,0.295,0.1929,0.4879,0.2922,0.0028,0.0057,0.1546,0.1509,0.057,0.2077,3.0865,1.2369,0.9589,36.5,0.12,0.3,0.0423,0.15,-8.5,-8.2,90.5333,21.722,75.1,59.7,50.3,0.0443,0.1359,0.4397,0.3972,0.2979,0.1135,0.7262,9.2596,0.5418,0.0312,0.0567,0.0908,1.095,0.4454,0,0,0,0,6.0936,0.0766,0.5021,1.1433,0.008,0.6865,0.0113,0.1702,0.122,0.139,0.0142,0.1872,0.0013,0.0993,0.0028,0.0227,0.0369,0.0255,0,0.2922,0.261,0.0965,0.1163,0.0794,0.0794,0.2298,34.6,0.1504,0.3688,0.0482,0.3206,0.2383,0.4511,0.2184,0.0028,15.4043,0.3348,1.2652,6.139,8.3035,1.7986,15.3986,1.6057,54.8,0.6865,42.8,9.4695,63.6227,29.4922,1.1262,0.7007,0.434,1.5177,0.9504,11.739,0.1333,0.0085,0.0057,1.3163,0.0142,0.0057,0,1.2879,1.2057,1.6539,Complete Forward
Antony,1,0.2728,0.2308,0.5037,0.2728,0,0,0.2686,0.2686,0.2015,0.4701,11.8783,3.2319,1.1123,34.4,0.08,0.25,0.2067,0.08,0.4,0.4,535.4879,135.8762,87.7,78.4,53,0.2319,0.0294,1.6159,1.9727,2.3924,0.5456,4.7429,47.8174,1.5005,0.3568,0.1049,0.2099,3.2109,0.8395,0.2938,0.1154,0.0105,0,38.6779,0.0944,1.2592,4.3022,0.0453,3.4837,0.0525,0.2518,0.2099,0.2833,0.021,0.3987,0.0042,0.3568,0,0.021,0.0105,0.0105,0,1.3431,0.7135,0.3882,0.6296,0.3253,0.4617,1.5845,29.1,1.1228,1.0388,0.021,1.0178,0.5981,1.9307,0.2518,0,62.0147,0.4302,5.6453,21.8048,35.6978,4.4596,62.0147,4.0189,53.5,1.6999,42.3,43.022,267.0094,139.234,4.4491,3.085,1.6055,2.2036,0.9444,48.0273,0.2204,0.021,0.021,0.8709,0.021,0.0105,0,5.6663,0.4827,0.8919,Wide Winger
Cameron Archer,1,0.4203,0.1226,0.4729,0.4203,0,0,0.2627,0.2627,0.1331,0.3958,5.289,1.7513,0.7531,43,0.2,0.47,0.2644,0.15,5,5,138.3187,23.0998,85.1,85.6,64.7,0.0981,-0.0105,0.9632,0.5779,0.4028,0.0175,0.9982,13.8529,0.4729,0.0525,0.1051,0.0525,0.1926,0.0876,0.0175,0,0,0,11.3485,0,0.5429,1.9089,0.042,1.296,0,0.2802,0.2102,0.0525,0.0701,0.3678,0.0081,0.1576,0,0.1401,0.035,0.0175,0.0175,0.4203,0.1926,0.0876,0.1051,0.2277,0.1751,0.4553,38.5,0.2802,0.5254,0.0525,0.4729,0.0876,0.5079,0.2102,0,23.4501,0.3152,1.5937,8.9492,13.3625,3.7828,23.4501,2.5394,40.7,1.4361,56.6,15.0263,91.6988,38.9842,1.5236,1.0333,0.9632,2.732,1.5412,18.1961,0.0876,0,0,0.8406,0.0175,0,0,2.2942,0.2452,1.3485,Poacher
Serge Aurier,1,0.0579,0.1231,0.181,0.0579,0,0,0.0156,0.0156,0.0482,0.0637,2.1723,0.3476,0.2245,28.1,0.06,0.26,0.0652,0.06,1.7,1.7,255.4345,94.4786,86.6,76.1,48.2,0.0337,0.0749,0.3295,0.9196,0.4417,0.1846,1.5279,18.7147,3.5916,0.2028,0.0145,0.0326,1.6763,3.3888,0,0,0,0,17.0348,0.0398,0.6481,0.706,0.0063,0.5576,0.0326,0.0362,0.0398,0.0217,0.0181,0.0797,0.0007,0.0579,0.0072,0.0072,0.0036,0.0036,0,1.1369,0.8617,0.6915,0.3331,0.1122,0.3802,0.7458,51,0.3657,0.5503,0.1267,0.4236,0.6843,1.6908,1.2744,0.0253,27.6756,1.593,8.4902,12.0746,7.3678,0.6191,27.6756,0.7133,56.9,0.2896,40.6,13.3852,56.3469,29.3193,0.7422,0.5757,0.0833,0.601,0.3657,15.2715,0.1846,0.0217,0.0109,1.2962,0.0036,0.0217,0.0072,2.2592,0.9522,0.7748,Defensive Full Back
